name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
Ã…land Islands,AX,ALA,248,ISO 3166-2:AX,Europe,Northern Europe,,150,154,
Albania,AL,ALB,008,ISO 3166-2:AL,Europe,Southern Europe,,150,039,
Andorra,AD,AND,020,ISO 3166-2:AD,Europe,Southern Europe,,150,039,
Austria,AT,AUT,040,ISO 3166-2:AT,Europe,Western Europe,,150,155,
Belarus,BY,BLR,112,ISO 3166-2:BY,Europe,Eastern Europe,,150,151,
Belgium,BE,BEL,056,ISO 3166-2:BE,Europe,Western Europe,,150,155,
Bosnia and Herzegovina,BA,BIH,070,ISO 3166-2:BA,Europe,Southern Europe,,150,039,
Bulgaria,BG,BGR,100,ISO 3166-2:BG,Europe,Eastern Europe,,150,151,
Croatia,HR,HRV,191,ISO 3166-2:HR,Europe,Southern Europe,,150,039,
Czechia,CZ,CZE,203,ISO 3166-2:CZ,Europe,Eastern Europe,,150,151,
Denmark,DK,DNK,208,ISO 3166-2:DK,Europe,Northern Europe,,150,154,
Estonia,EE,EST,233,ISO 3166-2:EE,Europe,Northern Europe,,150,154,
Faroe Islands,FO,FRO,234,ISO 3166-2:FO,Europe,Northern Europe,,150,154,
Finland,FI,FIN,246,ISO 3166-2:FI,Europe,Northern Europe,,150,154,
France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,,150,155,
Germany,DE,DEU,276,ISO 3166-2:DE,Europe,Western Europe,,150,155,
Gibraltar,GI,GIB,292,ISO 3166-2:GI,Europe,Southern Europe,,150,039,
Greece,GR,GRC,300,ISO 3166-2:GR,Europe,Southern Europe,,150,039,
Guernsey,GG,GGY,831,ISO 3166-2:GG,Europe,Northern Europe,Channel Islands,150,154,830
Holy See,VA,VAT,336,ISO 3166-2:VA,Europe,Southern Europe,,150,039,
Hungary,HU,HUN,348,ISO 3166-2:HU,Europe,Eastern Europe,,150,151,
Iceland,IS,ISL,352,ISO 3166-2:IS,Europe,Northern Europe,,150,154,
Ireland,IE,IRL,372,ISO 3166-2:IE,Europe,Northern Europe,,150,154,
Isle of Man,IM,IMN,833,ISO 3166-2:IM,Europe,Northern Europe,,150,154,
Italy,IT,ITA,380,ISO 3166-2:IT,Europe,Southern Europe,,150,039,
Jersey,JE,JEY,832,ISO 3166-2:JE,Europe,Northern Europe,Channel Islands,150,154,830
Latvia,LV,LVA,428,ISO 3166-2:LV,Europe,Northern Europe,,150,154,
Liechtenstein,LI,LIE,438,ISO 3166-2:LI,Europe,Western Europe,,150,155,
Lithuania,LT,LTU,440,ISO 3166-2:LT,Europe,Northern Europe,,150,154,
Luxembourg,LU,LUX,442,ISO 3166-2:LU,Europe,Western Europe,,150,155,
Macedonia (the former Yugoslav Republic of),MK,MKD,807,ISO 3166-2:MK,Europe,Southern Europe,,150,039,
Malta,MT,MLT,470,ISO 3166-2:MT,Europe,Southern Europe,,150,039,
Moldova (Republic of),MD,MDA,498,ISO 3166-2:MD,Europe,Eastern Europe,,150,151,
Monaco,MC,MCO,492,ISO 3166-2:MC,Europe,Western Europe,,150,155,
Montenegro,ME,MNE,499,ISO 3166-2:ME,Europe,Southern Europe,,150,039,
Netherlands,NL,NLD,528,ISO 3166-2:NL,Europe,Western Europe,,150,155,
Norway,NO,NOR,578,ISO 3166-2:NO,Europe,Northern Europe,,150,154,
Poland,PL,POL,616,ISO 3166-2:PL,Europe,Eastern Europe,,150,151,
Portugal,PT,PRT,620,ISO 3166-2:PT,Europe,Southern Europe,,150,039,
Romania,RO,ROU,642,ISO 3166-2:RO,Europe,Eastern Europe,,150,151,
Russian Federation,RU,RUS,643,ISO 3166-2:RU,Europe,Eastern Europe,,150,151,
San Marino,SM,SMR,674,ISO 3166-2:SM,Europe,Southern Europe,,150,039,
Serbia,RS,SRB,688,ISO 3166-2:RS,Europe,Southern Europe,,150,039,
Slovakia,SK,SVK,703,ISO 3166-2:SK,Europe,Eastern Europe,,150,151,
Slovenia,SI,SVN,705,ISO 3166-2:SI,Europe,Southern Europe,,150,039,
Spain,ES,ESP,724,ISO 3166-2:ES,Europe,Southern Europe,,150,039,
Svalbard and Jan Mayen,SJ,SJM,744,ISO 3166-2:SJ,Europe,Northern Europe,,150,154,
Sweden,SE,SWE,752,ISO 3166-2:SE,Europe,Northern Europe,,150,154,
Switzerland,CH,CHE,756,ISO 3166-2:CH,Europe,Western Europe,,150,155,
Ukraine,UA,UKR,804,ISO 3166-2:UA,Europe,Eastern Europe,,150,151,
United Kingdom of Great Britain and Northern Ireland,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,,150,154,
